Code,Name,Pinyin,Current_date,Net_value,Gross_value,Day_rate,One_week,One_month,Three_month,Six_month,One_year,Two_year,Three_year,From_this_y,From_establish,Establish_date,,,Management_rate,Discounted_m_r,,Discounted_m_r,,
688888,浙商聚潮产业成长混合,ZSJCCYCZHH,2019-02-22,1.0190,1.32,1.4940,3.3468,10.8814,2.4120,-0.3910,-13.1287,-22.69,-14.6369,9.9245,27.0203,2011-05-17,1,-14.2370,1.50%,0.15%,1,0.15%,1,45.3322
686869,浙商聚盈纯债C,ZSJYCZC,2019-02-22,1.0795,1.2910,-0.0278,-0.0463,0.5402,2.3126,4.6505,8.8761,12.2067,13.1205,1.5331,31.3329,2012-09-18,1,8.9164,0.00%,0.00%,,0.00%,0,31.3329
686868,浙商聚盈纯债A,ZSJYCZA,2019-02-22,1.0799,1.3159,-0.0278,-0.0462,0.5494,2.3408,4.7197,8.9667,12.6261,14.1441,1.5612,34.2335,2012-09-18,1,9.0071,0.80%,0.08%,1,0.08%,1,33.4329
675163,西部利得汇盈债券C,XBLDHYZQC,2019-02-22,1.0356,1.0436,-0.0386,-0.1158,0.2614,1.7589,2.8912,,,,1.0933,4.3874,2018-03-26,1,4.4378,,0.00%,,,,
675161,西部利得汇盈债券A,XBLDHYZQA,2019-02-22,1.0451,1.0451,-0.0383,-0.1147,0.2686,1.7822,2.9452,,,,1.1028,4.51,2018-03-26,1,4.56,0.50%,0.05%,1,0.05%,1,
675123,西部汇逸债券C,XBHYZQC,2019-02-22,1.1060,1.1060,0.0090,0.0905,0.4177,1.5517,2.8837,5.9691,10.7440,,1.0969,10.60,2017-02-04,1,5.9404,,0.00%,,,,
675121,西部汇逸债券A,XBHYZQA,2019-02-22,1.0307,1.0487,0.0097,0.0971,0.4287,1.5769,2.9302,5.9980,5.1376,,1.1085,4.9168,2017-02-04,1,5.9671,0.80%,0.08%,1,0.08%,1,
675113,西部利得汇享债券C,XBLDHXZQC,2019-02-22,1.1357,1.1357,0.1676,0.96,2.1312,3.4429,6.0707,10.1765,,,2.8993,13.5586,2017-03-10,1,9.8661,0.00%,0.00%,,0.00%,0,
675111,西部利得汇享债券A,XBLDHXZQA,2019-02-22,1.1406,1.1406,0.1669,0.9559,2.1677,3.5497,6.2011,10.3735,,,2.9516,14.0486,2017-03-10,1,10.0638,0.50%,0.05%,1,0.05%,1,
675100,西部利得得尊债券,XBLDDZZQ,2019-02-22,1.0819,1.0819,0.0370,0.1481,0.9423,1.7301,2.6568,4.5314,,,1.5582,8.19,2017-03-01,1,4.4928,0.50%,0.05%,1,0.05%,1,
675093,西部利得祥逸债券C,XBLDXYZQC,2019-02-22,1.0386,1.0386,0.0289,0.0096,0.2510,0.9428,1.7736,4.3924,,,0.4935,3.86,2017-03-10,1,4.3622,,0.00%,,,,
675091,西部利得祥逸债券A,XBLDXYZQA,2019-02-22,1.1152,1.1152,0.0269,0.0179,0.2788,1.0053,1.9565,7.8739,,,0.5319,11.52,2017-03-10,1,7.8352,0.60%,0.06%,1,0.06%,1,
675083,西部利得祥盈债券C,XBLDXYZQC,2019-02-22,1.1030,1.1030,0.3548,1.7903,3.2578,4.4606,7.0458,9.6967,11.4029,,3.89,10.30,2016-11-17,1,9.0701,,0.00%,,,,
675081,西部利得祥盈债券A,XBLDXYZQA,2019-02-22,1.1361,1.1361,0.3533,1.7920,3.2818,4.7869,7.5038,10.6232,14.48,,3.9718,13.61,2016-11-17,1,9.9903,0.60%,0.06%,1,0.06%,1,
675043,西部利得合享C,XBLDHXC,2019-02-22,1.0399,1.2449,-0.0096,-0.0280,0.3976,1.3836,3.12,7.0382,24.0885,,0.8736,24.7958,2016-08-25,1,7.0485,,0.00%,,,,
675041,西部利得合享A,XBLDHXA,2019-02-22,1.0315,1.1114,0,-0.0194,0.4089,1.3964,3.1661,7.0931,10.8020,,0.8901,11.4447,2016-08-25,1,7.0931,0.80%,0.08%,1,0.08%,1,
675013,西部利得稳健双利债券C,XBLDWJSLZQC,2019-02-22,1.0250,1.15,0,0.1955,0.6876,1.6822,3.1451,4.7774,8.7275,10.2867,1.2846,15.3599,2012-06-26,1,4.6752,0.00%,0.00%,,0.00%,0,15.7070
675011,西部利得稳健双利债券A,XBLDWJSLZQA,2019-02-22,1.0290,1.1840,0,0.1947,0.6849,1.7761,3.3355,5.4309,9.9132,11.9831,1.2796,18.9261,2012-06-26,1,5.3285,0.80%,0.08%,1,0.08%,1,18.4523
673143,西部利得景程混合C,XBLDJCHHC,2019-02-22,1.0710,1.0710,0.4973,1.9126,3.8697,4.5898,6.7690,,,,4.6512,7.10,2018-06-20,1,6.62,,0.00%,,,,
673141,西部利得景程混合A,XBLDJCHHA,2019-02-22,1.0713,1.0713,0.4972,1.9218,3.8585,4.5273,6.7776,,,,4.6294,7.13,2018-06-20,1,6.64,0.80%,0.08%,1,0.08%,1,
673120,西部利得新富混合,XBLDXFHH,2019-02-22,1.0930,1.0930,1.0166,3.4059,7.4730,8.4325,6.4265,4.9952,,,9.4094,9.30,2017-06-16,1,3.2661,1.20%,0.12%,1,0.12%,1,
673110,西部利得新润混合,XBLDXRHH,2019-02-22,1.0360,1.0360,1.5686,3.9117,8.4817,7.8044,9.7458,4.3303,,,10.3301,3.60,2017-08-25,1,3.2226,1.20%,0.12%,1,0.12%,1,
673101,西部利得沪深300指数增强C,XBLDHS300ZSZQC,2019-02-22,1.0723,1.0723,2.0946,4.8704,10.8894,,,,,,15.3011,15.9118,2018-12-27,1,13.9336,,0.00%,,,,
673100,西部利得沪深300指数增强A,XBLDHS300ZSZQA,2019-02-22,1.0708,1.1908,2.0976,4.7852,10.7457,8.1070,6.2618,-4.7839,,,15.1398,18.7615,2017-03-21,1,-6.3934,0.80%,0.08%,1,0.08%,1,
673090,西部利得个股精选股票,XBLDGGJXGP,2019-02-22,0.8892,1.0112,1.7624,5.2557,10.1722,4.6487,0.4859,-15.6997,-2.6017,,11.6103,-0.4005,2017-01-23,1,-16.9037,1.20%,0.12%,1,0.12%,1,
673083,西部利得祥运混合C,XBLDXYHHC,2019-02-22,0.9840,0.9840,0.0407,0,0.7990,3.0474,-5.7110,-7.5536,-2.6225,,1.2033,-1.60,2016-12-05,1,-7.5817,,0.00%,,,,
673081,西部利得祥运混合A,XBLDXYHHA,2019-02-22,1.0488,1.1788,0.0095,-0.0286,0.3636,1.4182,-0.6975,10.2351,16.6971,,0.7783,18.0508,2016-12-05,1,10.2351,0.80%,0.08%,1,0.08%,1,
673073,西部利得新动力混合C,XBLDXDLHHC,2019-02-22,1.0969,1.0969,0.8087,2.5907,5.0369,6.0524,4.3077,3.7160,8.7439,,6.7439,9.69,2016-11-17,1,2.4017,,0.00%,,,,
673071,西部利得新动力混合A,XBLDXDLHHA,2019-02-22,1.1058,1.3188,0.8114,2.5979,5.0542,6.1025,4.4193,3.9384,9.2041,,6.7787,34.1312,2016-11-17,1,2.6224,1.20%,0.12%,1,0.12%,1,
673060,西部利得景瑞灵活配置混合,XBLDJRLHPZHH,2019-02-22,0.9210,0.9210,1.5436,7.3427,15.7035,19.1462,15.4135,-3.8622,-7.1573,,17.1756,-7.90,2016-08-25,1,-6.7850,0.60%,0.06%,1,0.06%,1,
673050,西部利得新盈混合,XBLDXYHH,2019-02-22,1.0650,1.0650,0,-0.0938,0.1881,0.6616,1.1396,2.2073,4.2074,6.6066,0.3770,6.50,2016-01-22,1,2.2073,1.20%,0.12%,1,0.12%,1,
673043,西部利得行业主题优选混合C,XBLDHYZTYXHHC,2019-02-22,1.0480,1.1240,1.1583,3.5573,7.1575,5.01,6.0729,5.7518,7.3649,,9.6234,12.3959,2016-05-25,1,3.9354,,0.00%,,,,
673040,西部利得行业主题优选混合A,XBLDHYZTYXHHA,2019-02-22,1.1410,1.1410,1.2422,3.7273,7.2368,5.0645,6.2384,5.9424,7.7432,,9.8171,14.10,2016-03-11,1,3.9926,1.20%,0.12%,1,0.12%,1,
673030,西部利得多策略优选混合,XBLDDCLYXHH,2019-02-22,1.04,1.1280,0.5803,1.6619,1.4635,4.1472,5.1151,-1.2193,8.5450,13.6723,2.2616,13.1039,2015-07-27,1,-1.8842,,0.00%,,,,
673020,西部利得成长精选混合,XBLDCZJXHH,2019-02-22,1.0310,1.0310,0,1.1776,3.2032,2.7916,0.1944,-4.4486,7.1726,4.2467,5.2041,3.10,2015-06-02,1,-4.4486,,0.00%,,,,
673010,西部利得新动向混合,XBLDXDXHH,2019-02-22,0.9210,1.4560,2.1064,4.8975,14.41,12.7296,10.0358,-4.5596,-4.3613,-8.0838,18.0770,44.0545,2011-08-18,1,-6.0104,1.50%,0.15%,1,0.15%,1,44.4880
671030,西部利得事件驱动股票,XBLDSJQDGP,2019-02-22,1.0955,1.0955,1.9639,6.1428,8.7345,8.7777,,,,,8.8101,9.55,2018-09-26,1,7.8,1.50%,0.15%,1,0.15%,1,
671010,西部利得策略优选混合,XBLDCLYXHH,2019-02-22,0.8330,0.8330,1.9584,4.3860,8.3225,5.9796,7.4839,-2.5731,-3.5880,1.7094,11.5127,-16.70,2011-01-25,1,-4.2105,1.50%,0.15%,1,0.15%,1,-7.9558
660109,农银增强收益债券C,NYZQSYZQC,2019-02-22,1.4987,1.5697,0.1470,0.2743,0.7326,1.4486,2.3912,4.8115,6.7754,9.3303,1.2840,59.2505,2011-07-01,1,4.7136,0.00%,0.00%,,0.00%,0,44.0593
660102,农银恒久增利债券C,NYHJZLZQC,2019-02-22,1.2541,1.5908,0.0558,0.1198,0.4727,1.4860,3.1728,5.3064,8.5218,9.4869,1.1317,48.9859,2010-10-25,1,5.2477,0.00%,0.00%,,0.00%,0,46.2328
660015,农银行业轮动混合,NYHYLDHH,2019-02-22,2.6246,2.7246,2.3715,4.9672,9.6004,6.8779,1.6302,-15.6077,1.9777,4.2998,11.5949,184.0457,2012-11-14,1,-17.6302,1.50%,0.15%,1,0.15%,1,75.2771
660013,农银汇理信用添利债券,NYHLXYTLZQ,2019-02-22,1.0740,1.4150,0.1212,0.2426,0.6372,1.3948,3.1427,5.4536,7.7223,10.0693,1.0396,45.7942,2012-06-19,1,5.3260,0.80%,0.08%,1,0.08%,1,40.9785
660012,农银消费主题混合,NYXFZTHH,2019-02-22,2.0636,2.1436,2.8048,5.5442,10.8807,8.1891,0.9441,-17.5615,-9.8156,-14.0990,13.8726,121.8148,2012-04-24,1,-19.5909,1.50%,0.15%,1,0.15%,1,15.0215
660011,农银中证500,NYZZ500,2019-02-22,1.2220,1.2220,2.3965,5.7185,10.1596,4.7938,-1.0927,-17.5995,-25.5650,-21.3743,13.5688,22.20,2011-11-29,1,-19.3864,1.50%,0.15%,1,0.15%,1,10.5282
660010,农银策略精选混合,NYCLJXHH,2019-02-22,1.0794,1.0794,2.5461,5.4410,11.7160,8.4497,-0.4886,-9.0189,25.5993,49.2946,15.2343,7.94,2011-09-06,1,-10.9322,1.50%,0.15%,1,0.15%,1,14.5495
660009,农银增强收益债券A,NYZQSYZQA,2019-02-22,1.5405,1.6115,0.1495,0.3060,0.7785,1.5424,2.5633,5.1393,7.4793,10.4381,1.3487,63.6130,2011-07-01,1,5.0368,0.80%,0.08%,1,0.08%,1,46.6534
660008,农银沪深300指数A,NYHS300ZSA,2019-02-22,1.1966,1.1966,2.1426,5.1494,11.3323,8.7423,5.9126,-10.7880,4.5705,19.1595,15.8262,19.66,2011-04-12,1,-12.4432,1.20%,0.12%,1,0.12%,1,66.4719
660006,农银大盘蓝筹混合,NYDPLCHH,2019-02-22,1.0079,1.0079,2.0452,4.5214,9.9967,6.7012,5.4730,-10.8448,1.2253,13.2981,12.4637,0.79,2010-09-01,1,-12.5697,1.50%,0.15%,1,0.15%,1,11.7034
660005,农银中小盘混合,NYZXPHH,2019-02-22,1.8009,2.1629,2.7911,5.6928,11.1667,7.9935,0.9077,-19.2132,-11.8167,-15.5597,13.9017,111.8364,2010-03-25,1,-21.1287,1.50%,0.15%,1,0.15%,1,18.5032
660004,农银策略价值混合,NYCLJZHH,2019-02-22,1.7885,1.7885,2.2701,4.8359,9.9330,6.6869,0.3817,-12.5428,6.6933,16.5071,12.8818,78.85,2009-09-29,1,-14.4988,1.50%,0.15%,1,0.15%,1,46.8150
660003,农银平衡双利,NYPHSL,2019-02-22,1.3336,1.9483,2.2229,4.7522,9.7523,6.4835,0.2481,-12.2516,8.0061,17.7166,12.6066,112.9788,2009-04-08,1,-14.1993,1.50%,0.15%,1,0.15%,1,53.2773
660002,农银恒久增利债券A,NYHJZLZQA,2019-02-22,1.2820,1.6854,0.0546,0.1250,0.5017,1.5744,3.3791,5.6562,9.2039,10.5496,1.1827,73.2345,2008-12-23,1,5.5985,0.80%,0.08%,1,0.08%,1,48.6994
660001,农银行业成长混合,NYHYCZHH,2019-02-22,1.9244,2.5244,2.2692,4.7178,9.1858,5.6086,1.6641,-19.1632,-11.3098,-13.0254,11.0060,197.8475,2008-08-04,1,-20.9779,1.50%,0.15%,1,0.15%,1,11.8122
650002,英大纯债C类,YDCZCL,2019-02-22,1.1061,1.3331,0.0814,-0.0451,-0.0813,2.2463,5.8267,7.1326,9.6430,12.9115,0.2084,35.7557,2013-04-24,1,7.0551,0.00%,0.00%,,0.00%,0,43.0362
650001,英大纯债A类,YDCZAL,2019-02-22,1.1221,1.3841,0.0803,-0.0445,-0.0534,2.3067,5.9985,7.5560,10.5213,14.3219,0.2412,41.6099,2013-04-24,1,7.4792,0.80%,0.08%,1,0.08%,1,48.6562
630109,华商稳定增利债券C,HSWDZLZQC,2019-02-22,1.2580,1.5780,0.8821,1.5335,3.7954,4.3118,1.4516,-0.8668,6.5812,7.4513,5.8032,57.9534,2011-03-15,1,-1.5761,0.00%,0.00%,,0.00%,0,48.7320
630107,华商稳健双利债券B,HSWJSLZQB,2019-02-22,1.3950,1.4490,0.7948,1.1603,2.8761,3.2569,0.5043,-1.8297,1.0138,-0.1431,4.8084,46.5271,2010-08-09,1,-2.2519,0.00%,0.00%,,0.00%,0,31.1091
630103,华商收益增强债券B,HSSYZQZQB,2019-02-22,1.1630,1.6690,0,-0.1717,0,1.8389,4.0250,-4.6721,-8.4972,-8.5692,0.2587,73.5377,2009-01-23,1,-4.6721,0.00%,0.00%,,0.00%,0,29.5442
630016,华商价值共享混合,HSJZGXHH,2019-02-22,1.6320,1.9920,2.9653,5.9052,14.1259,10.7191,1.7456,-19.6455,-12.7434,-1.3271,18.4325,106.0505,2013-03-18,1,-22.1566,1.50%,0.15%,1,0.15%,1,46.3410
630015,华商大盘量化精选混合,HSDPLHJXHH,2019-02-22,1.23,1.91,1.7370,5.3082,9.0426,6.1260,-0.7264,-13.8655,-20.5505,-8.9444,12.6374,80.5574,2013-04-09,1,-15.2661,1.50%,0.15%,1,0.15%,1,35.7156
630011,华商主题精选混合,HSZTJXHH,2019-02-22,1.07,1.97,2.9836,7.4297,14.1942,7.1071,3.8835,-3.9497,-41.2411,-41.0045,16.8123,61.9443,2012-05-31,1,-7.4506,1.50%,0.15%,1,0.15%,1,-12.3669
630010,华商价值精选混合,HSJZJXHH,2019-02-22,1.06,1.97,1.8252,4.3307,9.7309,5.1588,-0.5628,-15.9397,-19.1012,-28.7562,12.5265,76.6742,2011-05-31,1,-17.5258,1.50%,0.15%,1,0.15%,1,26.4471
630009,华商稳定增利债券A,HSWDZLZQA,2019-02-22,1.3020,1.6320,0.8521,1.56,3.8277,4.4106,1.7187,-0.4587,7.4460,8.8767,5.8537,63.5328,2011-03-15,1,-1.2232,0.80%,0.08%,1,0.08%,1,52.1235
630008,华商策略精选混合,HSCLJXHH,2019-02-22,1.1740,1.4040,2.6224,5.8612,11.5970,7.3126,3.1460,-5.7729,1.2440,8.9725,13.7597,42.7540,2010-11-09,1,-8.6624,1.50%,0.15%,1,0.15%,1,55.1674
630007,华商稳健双利债券A,HSWJSLZQA,2019-02-22,1.44,1.5010,0.7698,1.1236,2.9307,3.3740,0.7697,-1.4374,1.9108,1.1947,4.8798,52.1484,2010-08-09,1,-1.9165,0.80%,0.08%,1,0.08%,1,34.2032
630006,华商产业升级混合,HSCYSJHH,2019-02-22,0.9620,1.1920,1.5839,3.7756,8.9467,4,-2.5329,-19.6324,-13.6446,-0.7224,11.4716,20.7844,2010-06-18,1,-20.7185,1.50%,0.15%,1,0.15%,1,38.5142
630005,华商动态阿尔法混合,HSDTAEFHH,2019-02-22,1.4690,1.4690,1.4503,2.3693,5.2292,2.7992,-4.4863,-6.6116,-37.6221,-36.3518,6.7587,46.90,2009-11-24,1,-7.7559,1.50%,0.15%,1,0.15%,1,4.3324
630003,华商收益增强债券A,HSSYZQZQA,2019-02-22,1.1990,1.7240,0,-0.1665,0,1.9558,4.2609,-4.2332,-7.6271,-7.3416,0.3347,81.4063,2009-01-23,1,-4.1534,0.80%,0.08%,1,0.08%,1,32.4615
630002,华商盛世成长混合,HSSSCZHH,2019-02-22,2.2816,3.9366,1.8844,4.7471,8.7356,1.7981,-2.3497,-0.8086,-2.5165,-18.8707,9.5396,264.0438,2008-09-23,1,-2.8215,1.50%,0.15%,1,0.15%,1,39.6971
630001,华商领先企业,HSLXQY,2019-02-22,0.6964,2.1574,1.7088,4.3139,7.0561,6.0292,4.7690,-16.9172,-25.0054,-19.2767,9.5485,78.4417,2007-05-15,1,-18.5755,1.50%,0.15%,1,0.15%,1,18.8548
620009,金元顺安丰祥债券,JYSAFXZQ,2019-02-22,1.0710,1.2710,0.2809,0.6578,1.7094,2.7830,4.0816,3.1792,6.0395,5.4595,3.1792,28.0278,2013-02-05,1,2.8902,0.60%,0.06%,1,0.06%,1,28.1560
620007,金元顺安优质精选混合A,JYSAYZJXHHA,2019-02-22,1.0180,1.1420,2.5176,4.09,7.2708,5.9313,1.6983,-8.6176,-4.6816,-4.3233,11.9912,14.3735,2011-08-16,1,-10.8618,1.50%,0.15%,1,0.15%,1,4.3577
620006,金元顺安消费主题混合,JYSAXFZTHH,2019-02-22,0.9730,0.9730,0.8290,3.1813,11.4548,12.3557,3.1813,-17.2619,8.4727,1.1435,17.9394,-2.70,2010-09-15,1,-18.0272,1.50%,0.15%,1,0.15%,1,7.1586
620004,金元顺安价值增长混合,JYSAJZZZHH,2019-02-22,0.6060,0.6060,5.2083,9.3863,13.2710,8.9928,0.8319,-7.3394,-37.3967,-43.8369,18.5910,-39.40,2009-09-11,1,-12.3853,1.50%,0.15%,1,0.15%,1,-30.8219
